"urn","current_urn","number_of_links"
100318,100318,0
100319,100319,0
100320,139509,1
100321,100321,0
100322,100322,0
100323,138680,1
100324,100324,0
100325,139820,1
100326,100326,0
100327,100327,0
100328,100328,0
100329,143213,1
100330,142256,1
100331,100331,0
100332,141685,1
100333,140634,1
100334,100334,0
100335,100335,0
100336,100336,0
100337,143212,1
100338,100338,0
100339,143214,1
100340,100340,0
100341,100341,0
100342,100342,0
100343,141902,1
100344,100344,0
100345,100345,0
100346,100346,0
100347,100347,0
100348,100348,0
100349,100349,0
100350,100350,0
100351,100351,0
100352,100352,0
100353,100353,0
100354,100354,0
100355,100355,0
100356,100356,0
100357,100357,0
100358,139364,1
100359,143129,1
100360,139365,1
100361,141617,1
100362,131752,1
100363,137935,1
100364,138607,1
100365,137157,1
100366,100366,0
100367,100367,0
100368,100368,0
100369,100369,0
100370,100370,0
100371,100371,0
100372,100372,0
100373,100373,0
100374,100374,0
100375,100375,0
100376,100376,0
100377,100377,0
100378,100378,0
100379,100379,0
100380,133743,1
100381,100381,0
100382,100382,0
100383,100383,0
100384,100384,0
100385,100385,0
100386,100386,0
100387,100387,0
100388,100388,0
100389,100389,0
100390,100390,0
100391,100391,0
100392,100392,0
100393,100393,0
100394,100394,0
100395,100395,0
100396,100396,0
100397,100397,0
100398,100398,0
100399,100399,0
100400,100400,0
100401,100401,0
100402,100402,0
100403,100403,0
100404,100404,0
100405,100405,0
100406,100406,0
100407,100407,0
100408,100408,0
100409,100409,0
100410,100410,0
100411,100411,0
100412,100412,0
100413,100413,0
100414,100414,0
100415,100415,0
100416,100416,0
100417,100417,0
100418,100418,0
100419,100419,0
100420,100420,0
100421,100421,0
100422,100422,0
100423,100423,0
100424,100424,0
100425,100425,0
100426,100426,0
100427,137566,1
100428,100428,0
100429,100429,0
100430,100430,0
100431,100431,0
100432,100432,0
100433,100433,0
100434,100434,0
100435,145731,1
100436,144961,1
100437,100437,0
100438,100438,0
100439,100439,0
100440,100440,0
100441,100441,0
100442,100442,0
100443,100443,0
100444,100444,0
100445,134314,1
100446,100446,0
100447,100447,0
100448,100448,0
100449,100449,0
100450,100450,0
100451,100451,0
100452,144962,1
100453,100453,0
100454,135587,1
100455,100455,0
100456,131690,1
100457,100457,0
100458,100458,0
100459,100459,0
100460,143659,1
100461,100461,0
100462,100462,0
100463,100463,0
100464,100464,0
100465,100465,0
100466,100466,0
100467,100467,0
100468,100468,0
100469,100469,0
100470,100470,0
100471,100471,0
100472,100472,0
100473,100473,0
100474,100474,0
100475,100475,0
100476,140807,1
100477,100477,0
100478,100478,0
100479,100479,0
100480,100480,0
100481,100481,0
100482,100482,0
100483,100483,0
100484,139645,1
100485,100485,0
100486,100486,0
100487,100487,0
100488,100488,0
100489,100489,0
100490,100490,0
100491,100491,0
100492,100492,0
100493,100493,0
100494,100494,0
100495,100495,0
100496,100496,0
100497,100497,0
100498,100498,0
100499,100499,0
100500,100500,0
100501,140134,1
100502,100502,0
100503,100503,0
100504,100504,0
100505,100505,0
100506,141931,1
100507,100507,0
100508,100508,0
100509,100509,0
100510,100510,0
100511,100511,0
100512,100512,0
100513,100513,0
100514,100514,0
100515,100515,0
100516,100516,0
100517,100517,0
100518,100518,0
100519,100519,0
100520,100520,0
100521,100521,0
100522,100522,0
100523,100523,0
100524,100524,0
100526,100526,0
100527,100527,0
100528,100528,0
100529,100529,0
100530,100530,0
100531,100531,0
100532,100532,0
100533,100533,0
100534,100534,0
100535,100535,0
100536,100536,0
100537,100537,0
100538,100538,0
100539,100539,0
100540,100540,0
100541,100541,0
100542,100542,0
100543,100543,0
100544,100544,0
100545,100545,0
100546,100546,0
100547,100547,0
100548,141957,1
100549,100549,0
100550,100550,0
100551,100551,0
100552,100552,0
100553,100553,0
100554,100554,0
100555,100555,0
100556,100556,0
100557,100557,0
100558,100558,0
100559,100559,0
100560,100560,0
100561,100561,0
100562,100562,0
100563,100563,0
100564,100564,0
100565,100565,0
100566,100566,0
100567,100567,0
100568,100568,0
100569,100569,0
100570,100570,0
100571,100571,0
100572,100572,0
100573,137430,1
100574,100574,0
100575,100575,0
100576,100576,0
100577,100577,0
100578,100578,0
100579,100579,0
100580,100580,0
100581,100581,0
100582,100582,0
100583,100583,0
100584,100584,0
100585,100585,0
100586,100586,0
100587,100587,0
100588,100588,0
100589,100589,0
100590,100590,0
100591,100591,0
100592,100592,0
100593,100593,0
100594,100594,0
100595,100595,0
100596,100596,0
100597,100597,0
100598,100598,0
100599,100599,0
100600,100600,0
100601,100601,0
100602,100602,0
100603,100603,0
100604,100604,0
100605,100605,0
100606,100606,0
100607,100607,0
100608,100608,0
100609,100609,0
100610,100610,0
100611,145614,1
100612,100612,0
100613,100613,0
100614,100614,0
100615,100615,0
100616,100616,0
100617,145615,1
100618,145616,1
100619,100619,0
100620,100620,0
100621,100621,0
100622,100622,0
100623,100623,0
100624,100624,0
100625,100625,0
100626,136450,1
100627,100627,0
100628,100628,0
100629,100629,0
100630,137295,1
100631,100631,0
100632,100632,0
100633,100633,0
100634,100634,0
100635,146368,2
100636,100636,0
100637,100637,0
100638,100638,0
100639,137093,1
100640,145857,1
100641,137966,1
100642,100642,0
100643,100643,0
100644,100644,0
100645,100645,0
100646,100646,0
100647,100647,0
100648,100648,0
100649,100649,0
100650,100650,0
100651,100651,0
100652,100652,0
100653,100653,0
100654,100654,0
100655,100655,0
100656,100656,0
100657,100657,0
100658,100658,0
100659,100659,0
100660,100660,0
100661,100661,0
100662,100662,0
100663,100663,0
100664,100664,0
100665,100665,0
100666,100666,0
100667,100667,0
100668,100668,0
100669,100669,0
100670,100670,0
100671,100671,0
100672,100672,0
100673,100673,0
100674,100674,0
100675,146221,1
100676,100676,0
100677,100677,0
100678,100678,0
100679,100679,0
100680,100680,0
100681,100681,0
100682,100682,0
100683,100683,0
100684,100684,0
100685,100685,0
100686,100686,0
100687,100687,0
100688,100688,0
100689,100689,0
100690,100690,0
100691,100691,0
100692,100692,0
100693,100693,0
100694,100694,0
100695,100695,0
100696,100696,0
100697,100697,0
100698,100698,0
100699,100699,0
100700,100700,0
100701,100701,0
100702,100702,0
100703,100703,0
100704,100704,0
100705,100705,0
100706,137441,1
100707,100707,0
100708,100708,0
100709,100709,0
100710,100710,0
100711,100711,0
100712,100712,0
100713,100713,0
100714,100714,0
100715,100715,0
100716,100716,0
100717,100717,0
100718,100718,0
100719,100719,0
100720,100720,0
100721,145621,1
100722,100722,0
100723,100723,0
100724,100724,0
100725,100725,0
100726,100726,0
100727,100727,0
100728,100728,0
100729,100729,0
100730,100730,0
100731,100731,0
100732,100732,0
100733,100733,0
100734,100734,0
100735,100735,0
100736,100736,0
100737,100737,0
100738,100738,0
100739,100739,0
100740,100740,0
100741,100741,0
100742,100742,0
100743,100743,0
100744,135070,1
100745,100745,0
100746,131797,1
100747,100747,0
100748,100748,0
100749,100749,0
100750,100750,0
100751,100751,0
100752,100752,0
100753,146100,1
100754,100754,0
100755,100755,0
100756,100756,0
100757,100757,0
100758,100758,0
100759,135073,1
100760,100760,0
100761,100761,0
100762,100762,0
100763,100763,0
100764,100764,0
100765,100765,0
100766,100766,0
100767,100767,0
100768,100768,0
100769,100769,0
100770,100770,0
100771,100771,0
100772,100772,0
100773,100773,0
100774,100774,0
100775,100775,0
100776,100776,0
100777,100777,0
100778,100778,0
100779,100779,0
100780,100780,0
100781,148012,1
100782,100782,0
100783,100783,0
100784,100784,0
100785,100785,0
100786,100786,0
100787,136665,1
100788,100788,0
100789,141666,1
100790,100790,0
100791,100791,0
100792,145130,3
100793,100793,0
100794,100794,0
100795,100795,0
100796,100796,0
100797,140507,1
100798,100798,0
100799,100799,0
100800,100800,0
100801,100801,0
100802,100802,0
100803,100803,0
100804,100804,0
100805,100805,0
100806,134903,1
100807,137648,1
100808,100808,0
100809,100809,0
100810,100810,0
100811,100811,0
100812,100812,0
100813,100813,0
100814,100814,0
100815,100815,0
100816,100816,0
100817,100817,0
100818,100818,0
100819,100819,0
100820,100820,0
100821,100821,0
100822,100822,0
100823,100823,0
100824,100824,0
100825,100825,0
100826,100826,0
100827,100827,0
100828,100828,0
100829,100829,0
100830,100830,0
100831,100831,0
100832,100832,0
100833,100833,0
100834,100834,0
100835,100835,0
100836,100836,0
100837,100837,0
100838,146669,1
100839,100839,0
100840,100840,0
100841,100841,0
100842,131747,1
100843,135315,1
100844,136309,1
100845,136298,2
100846,132711,1
100847,100847,0
100848,134225,1
100849,100849,0
100850,139718,2
100851,100851,0
100852,100852,0
100853,100853,0
100854,100854,0
100855,100855,0
100856,100856,0
100857,100857,0
100858,138961,1
100859,100859,0
100860,138960,1
100861,100861,0
100862,100862,0
100863,100863,0
100864,100864,0
100865,100865,0
100866,100866,0
100867,100867,0
100868,100868,0
100869,100869,0
100870,100870,0
100871,145313,2
100872,100872,0
100873,146190,1
100874,140138,1
100875,100875,0
100876,100876,0
100877,100877,0
100878,100878,0
100879,100879,0
100880,100880,0
100881,100881,0
100882,100882,0
100883,100883,0
100884,100884,0
100885,100885,0
100886,100886,0
100887,100887,0
100888,100888,0
100889,100889,0
100890,100890,0
100891,100891,0
100892,100892,0
100893,100893,0
100894,100894,0
100895,100895,0
100896,100896,0
100897,100897,0
100898,100898,0
100899,140064,1
100900,100900,0
100901,144699,1
100902,100902,0
100903,100903,0
100904,100904,0
100905,100905,0
100906,100906,0
100907,100907,0
100908,100908,0
100909,100909,0
100910,100910,0
100911,100911,0
100912,100912,0
100913,100913,0
100914,100914,0
100915,100915,0
100916,100916,0
100917,100917,0
100918,100918,0
100919,100919,0
100920,100920,0
100921,137682,1
100922,144235,1
100923,100923,0
100924,100924,0
100925,100925,0
100926,100926,0
100927,100927,0
100928,100928,0
100929,100929,0
100930,100930,0
100931,100931,0
100932,100932,0
100933,100933,0
100934,100934,0
100935,100935,0
100936,100936,0
100937,100937,0
100938,100938,0
100939,100939,0
100940,100940,0
100941,100941,0
100942,144236,1
100943,100943,0
100944,100944,0
100945,100945,0
100946,100946,0
100947,100947,0
100948,100948,0
100949,100949,0
100950,100950,0
100951,100951,0
100952,100952,0
100953,100953,0
100954,100954,0
100955,100955,0
100956,100956,0
100957,100957,0
100958,100958,0
100959,100959,0
100960,100960,0
100961,100961,0
100962,100962,0
100963,100963,0
100964,100964,0
100965,100965,0
100966,100966,0
100967,100967,0
100968,143629,1
100969,144700,1
100970,143379,1
100971,137789,1
100972,100972,0
100973,100973,0
100974,100974,0
100975,100975,0
100976,100976,0
100977,100977,0
100978,100978,0
100979,100979,0
100980,100980,0
100981,100981,0
100982,100982,0
100983,100983,0
100984,100984,0
100985,100985,0
100986,100986,0
100987,100987,0
100988,100988,0
100989,100989,0
100990,100990,0
100991,100991,0
100992,100992,0
100993,100994,1
100994,100994,0
100995,100995,0
100996,100996,0
100997,100997,0
100998,137563,1
100999,100999,0
101000,145060,2
101001,101001,0
101002,101002,0
101003,145280,1
101004,146549,1
101005,101005,0
101006,101006,0
101007,101007,0
101008,146191,1
101009,101009,0
101010,146214,1
101011,101011,0
101012,101012,0
101013,101013,0
101014,101014,0
101015,101015,0
101016,101016,0
101017,101017,0
101018,101018,0
101019,101019,0
101020,101020,0
101021,101021,0
101022,101022,0
101023,101023,0
101024,101024,0
101025,144621,1
101026,101026,0
101027,101027,0
101028,101028,0
101029,101029,0
101030,101030,0
101031,101031,0
101032,101032,0
101033,145030,1
101034,101034,0
101035,101035,0
101036,101036,0
101037,101037,0
101038,101038,0
101039,101039,0
101040,101040,0
101041,101041,0
101042,101042,0
101043,101043,0
101044,101044,0
101045,101045,0
101046,101046,0
101047,101047,0
101048,101048,0
101049,101049,0
101050,101050,0
101051,101051,0
101052,101052,0
101053,101053,0
101054,136883,1
101055,140985,1
101056,101056,0
101057,101057,0
101058,137005,1
101059,139842,1
101060,138681,1
101061,101061,0
101062,101062,0
101063,138682,1
101064,101064,0
101065,101065,0
101066,101066,0
101067,101067,0
101068,101068,0
101069,101069,0
101070,101070,0
101071,101071,0
101072,101072,0
101073,101073,0
101074,101074,0
101075,101075,0
101076,101076,0
101077,101077,0
101078,101078,0
101079,101079,0
101080,101080,0
101081,101081,0
101082,101082,0
101083,101083,0
101084,101084,0
101085,101085,0
101086,101086,0
101087,101087,0
101088,101088,0
101089,101089,0
101090,101090,0
101091,101091,0
101092,135316,1
101093,145709,1
101094,101094,0
101095,101095,0
101096,101096,0
101097,101097,0
101098,101098,0
101099,101099,0
101100,101100,0
101101,131833,1
101102,101102,0
101103,101103,0
101104,101104,0
101105,101105,0
101106,101106,0
101107,101107,0
101108,143148,1
101109,139940,1
101110,101110,0
101111,101111,0
101112,140050,1
101113,138683,1
101114,139824,1
101115,101115,0
101116,101116,0
101117,101117,0
101118,101118,0
101119,101119,0
101120,101120,0
101121,101121,0
101122,101122,0
101123,101123,0
101124,101124,0
101125,101125,0
101126,101126,0
101127,101127,0
101128,101128,0
101129,101129,0
101130,101130,0
101131,101131,0
101132,101132,0
101133,101133,0
101134,101134,0
101135,101135,0
101136,101136,0
101137,101137,0
101138,101138,0
101139,101139,0
101140,101140,0
101141,101141,0
101142,101142,0
101143,101143,0
101144,101144,0
101145,101145,0
101146,101146,0
101147,101147,0
101148,135676,1
101149,145126,2
101150,101150,0
101151,138313,1
101152,137353,1
101153,138312,1
101154,101154,0
101155,139369,1
101156,101156,0
101157,101157,0
101158,101158,0
101159,101159,0
101160,101160,0
101161,101161,0
101162,101162,0
101163,101163,0
101164,101164,0
101165,101165,0
101166,101166,0
101167,101167,0
101168,101168,0
101169,101169,0
101170,101170,0
101171,101171,0
101172,101172,0
101173,101173,0
101174,101174,0
101175,101175,0
101176,101176,0
101177,101177,0
101178,101178,0
101179,101179,0
101180,101180,0
101181,101181,0
101182,101182,0
101183,101183,0
101184,101184,0
101185,101185,0
101186,144280,1
101187,140687,1
101188,101188,0
101189,142699,1
101190,101190,0
101191,101191,0
101192,101192,0
101193,101193,0
101194,101194,0
101195,101195,0
101196,101196,0
101197,101197,0
101198,101198,0
101199,101199,0
101200,138684,1
101201,101201,0
101202,101202,0
101203,101203,0
101204,101204,0
101205,101205,0
101206,101206,0
101207,101207,0
101208,101208,0
101209,101209,0
101210,101210,0
101211,101211,0
101212,101212,0
101213,101213,0
101214,101214,0
101215,101215,0
101216,101216,0
101217,101217,0
101218,101218,0
101219,101219,0
101220,101220,0
101221,101221,0
101222,101222,0
101223,101223,0
101224,101224,0
101225,141651,1
101226,101226,0
101227,101227,0
101228,101228,0
101229,101229,0
101230,101230,0
101231,101231,0
101232,101232,0
101233,144035,1
101234,101234,0
101235,147328,1
101236,147329,1
101237,101237,0
101238,147330,1
101239,101239,0
101240,141178,1
101241,101241,0
101242,101242,0
101243,101243,0
101244,101244,0
101245,101245,0
101246,141683,1
101247,101247,0
101248,101248,0
101249,101249,0
101250,101250,0
101251,101251,0
101252,101252,0
101253,101253,0
101254,101254,0
101255,101255,0
101256,101256,0
101257,139633,1
101258,101258,0
101259,101259,0
101260,101260,0
101261,101261,0
101262,101262,0
101263,101263,0
101264,101264,0
101265,147706,1
101266,101266,0
101267,101267,0
101268,101268,0
101269,101269,0
101270,101270,0
101271,101271,0
101272,101272,0
101273,139489,1
101274,101274,0
101275,101275,0
101276,101276,0
101277,101277,0
101278,101278,0
101279,101279,0
101280,101280,0
101281,101281,0
101282,101282,0
101283,101283,0
101284,138649,1
101285,101285,0
101286,101286,0
101287,101287,0
101288,101288,0
101289,101289,0
101290,101290,0
101291,101291,0
101292,101292,0
101293,101293,0
101294,101294,0
101295,101295,0
101296,101296,0
101297,144653,1
101298,101298,0
101299,101299,0
101300,101300,0
101301,101301,0
101302,101302,0
101303,101303,0
101304,101304,0
101305,101305,0
101306,101306,0
101307,101307,0
101308,101308,0
101309,101309,0
101310,101310,0
101311,101311,0
101312,101312,0
101313,101313,0
101314,101314,0
101315,101315,0
101316,101316,0
101317,101317,0
101318,101318,0
101319,101319,0
101320,101320,0
101321,101321,0
101322,101322,0
101323,101323,0
101324,101324,0
101325,101325,0
101326,101326,0
101327,101327,0
101328,101328,0
101329,101329,0
101330,101330,0
101331,101331,0
101332,101332,0
101333,101333,0
101334,101334,0
101335,101335,0
101336,101336,0
101337,101337,0
101338,101338,0
101339,101339,0
101340,101340,0
101341,101341,0
101342,101342,0
101343,137303,1
101344,134798,1
101345,101345,0
101346,144502,2
101347,137361,1
101348,137131,1
101349,138685,1
101350,137388,1
101351,136658,1
101352,136418,1
101353,101353,0
101354,138051,1
101355,101355,0
101356,101356,0
101357,137645,1
101358,136290,1
101359,137386,1
101360,101360,0
101361,101361,0
101362,101362,0
101363,136308,1
101364,101364,0
101365,143082,1
101366,137539,1
101367,101367,0
101368,101368,0
101369,101369,0
101370,101370,0
101371,101371,0
101372,101372,0
101373,101373,0
101374,101374,0
101375,101375,0
101376,101376,0
101377,101377,0
101378,101378,0
101379,130998,1
101380,101380,0
101381,101381,0
101382,101382,0
101383,101383,0
101384,101384,0
101385,101385,0
101386,144752,1
101387,101387,0
101388,101388,0
101389,135086,1
101390,101390,0
101391,101391,0
101392,131916,1
101393,101393,0
101394,143865,1
101395,101395,0
101396,101396,0
101397,101397,0
101398,101398,0
101399,101399,0
101400,101400,0
101401,141047,1
101402,101402,0
101403,101403,0
101404,142586,1
101405,101405,0
101406,101406,0
101407,145208,1
101408,142295,1
101409,147240,1
101410,139494,1
101411,101411,0
101412,101412,0
101413,101413,0
101414,101414,0
101415,101415,0
101416,135951,1
101417,141114,1
101418,137417,1
101419,101419,0
101420,143867,1
101421,143866,1
101422,146870,1
101423,139212,2
101424,141866,1
101425,139115,1
101426,101426,0
101427,141976,1
101428,140710,1
101429,101429,0
101430,101430,0
101431,145011,1
101432,101432,0
101433,101433,0
101434,101434,0
101435,101435,0
101436,140443,1
101437,101437,0
101438,147332,1
101439,143085,1
101440,145071,1
101441,144540,1
101442,101442,0
101443,140532,1
101444,146892,1
101445,142723,1
101446,140243,1
101447,137380,1
101448,139213,2
101449,143868,1
101450,141889,1
101451,101451,0
101452,142228,1
101453,142229,1
101454,142294,1
101455,101455,0
101456,101456,0
101457,101457,0
101458,101458,0
101459,101459,0
101460,101460,0
101461,101461,0
101462,136369,1
101463,137769,1
101464,135677,1
101465,137965,1
101466,137423,1
101467,136720,1
101468,146378,2
101469,145140,2
101470,137138,1
101471,138686,1
101472,136538,1
101473,140320,1
101474,140321,1
101475,144889,1
101476,101476,0
101477,138650,1
101478,137681,1
101479,136334,1
101480,137368,1
101481,101481,0
101482,101482,0
101483,101483,0
101484,101484,0
101485,146885,1
101486,144041,1
101487,101487,0
101488,144406,1
101489,101489,0
101490,101490,0
101491,101491,0
101492,101492,0
101493,101493,0
101494,101494,0
101495,101495,0
101496,101496,0
101497,101497,0
101498,101498,0
101499,101499,0
101500,101500,0
101501,101501,0
101502,101502,0
101503,101503,0
101504,101504,0
101505,101505,0
101506,101506,0
101507,101507,0
101508,101508,0
101509,101509,0
101510,101510,0
101511,101511,0
101512,101512,0
101513,101513,0
101514,101514,0
101515,101515,0
101516,101516,0
101517,101517,0
101518,101518,0
101519,101519,0
101520,101520,0
101521,101521,0
101522,101522,0
101523,139830,1
101524,101524,0
101525,142703,1
101526,101526,0
101527,101527,0
101528,101528,0
101529,140833,1
101530,101530,0
101531,101531,0
101532,145718,1
101533,101533,0
101534,101534,0
101535,101535,0
101536,141672,1
101537,101537,0
101538,146116,1
101539,101539,0
101540,101540,0
101541,101541,0
101542,101542,0
101543,101543,0
101544,101544,0
101545,101545,0
101546,101546,0
101547,146721,1
101548,146179,1
101549,101549,0
101550,138457,1
101551,134226,1
101552,142718,1
101553,141154,1
101554,101554,0
101555,101555,0
101556,101556,0
101557,136656,1
101558,141019,1
101559,137685,1
101560,138609,1
101561,137994,1
101562,138610,1
101563,142560,1
101564,101564,0
101565,135974,1
101566,135973,1
101567,139319,1
101568,101568,0
101569,101569,0
101570,101570,0
101571,101571,0
101572,101572,0
101573,101573,0
101574,101574,0
101575,101575,0
101576,101576,0
101577,101577,0
101578,101578,0
101579,140796,1
101580,101580,0
101581,101581,0
101582,144053,1
101583,146212,1
101584,141116,1
101585,140080,1
101586,140451,1
101587,137216,1
101588,144287,1
101589,145204,1
101590,141785,1
101591,101591,0
101592,142299,1
101593,142298,1
101594,137035,1
101595,142301,1
101596,142403,1
101597,142584,1
101598,137069,1
101599,137070,1
101600,141352,1
101601,101601,0
101602,137242,1
101603,142033,1
101604,143110,1
101605,142233,1
101606,140533,1
101607,143109,1
101608,101608,0
101609,101609,0
101610,142694,1
101611,138611,1
101612,142697,1
101613,137032,1
101614,101614,0
101615,140449,1
101616,144504,2
101617,142721,1
101618,101618,0
101619,101619,0
101620,101620,0
101621,101621,0
101622,141117,1
101623,140450,2
101624,142743,1
101625,101625,0
101626,101626,0
101627,136915,1
101628,101628,0
101629,139966,1
101630,139678,1
101631,143774,1
101632,139639,1
101633,141291,1
101634,141613,1
101635,101635,0
101636,140752,1
101637,142234,1
101638,143033,1
101639,101639,0
101640,140448,1
101641,101641,0
101642,140088,1
101643,140729,1
101644,139984,1
101645,143097,1
101646,141896,1
101647,146842,1
101648,141567,1
101649,141529,1
101650,140648,1
101651,141566,1
101652,141481,1
101653,141482,1
101654,144549,1
101655,141158,1
101656,137958,1
101657,137379,1
101658,136355,1
101659,143427,2
101660,137683,1
101661,141907,1
101662,141535,1
101663,140082,1
101664,140257,1
101665,136920,1
101666,136709,1
101667,136464,1
101668,136586,1
101669,136517,1
101670,137121,1
101671,136551,1
101672,136281,1
101673,136644,1
101674,136467,1
101675,136545,1
101676,101676,0
101677,101677,0
101678,137006,1
101679,136540,1
101680,101680,0
101681,101681,0
101682,101682,0
101683,101683,0
101684,101684,0
101685,101685,0
101686,101686,0
101687,101687,0
101688,101688,0
101689,101689,0
101690,101690,0
101691,101691,0
101692,101692,0
101693,101693,0
101694,101694,0
101695,101695,0
101696,101696,0
101697,101697,0
101698,101698,0
101699,101699,0
101700,144893,1
101701,101701,0
101702,101702,0
101703,101703,0
101704,101704,0
101705,101705,0
101706,101706,0
101707,101707,0
101708,101708,0
101709,101709,0
101710,101710,0
101711,139905,1
101712,101712,0
101713,141120,1
101714,101714,0
101715,144626,1
101716,137195,1
101717,101717,0
101718,101718,0
101719,101719,0
101720,101720,0
101721,101721,0
101722,101722,0
101723,101723,0
101724,136714,1
101725,101725,0
101726,101726,0
101727,101727,0
101728,101728,0
101729,101729,0
101730,146225,1
101731,137114,1
101732,140674,1
101733,101733,0
101734,101734,0
101735,101735,0
101736,146543,2
101737,101737,0
101738,101738,0
101739,144065,1
101740,101740,0
101741,147971,2
101742,136565,1
101743,136564,1
101744,140683,1
101745,101745,0
101746,101746,0
101747,101747,0
